rho,noise,network,n_sens,expect,ga_acc,rnd_acc,drop_s,drop_i,share_i
0.5,0.5,29,6,2.0384,0.8181818181818182,0.3181818181818182,0.1484848484848485,0.06363636363636364,0.3
0.5,0.5,30,7,2.0928,0.9545454545454546,0.42727272727272725,0.04675324675324675,0.0,0.0
0.5,0.5,31,5,2.9632,0.7818181818181819,0.2636363636363636,0.06727272727272729,0.036363636363636404,0.35087719298245634
0.5,0.5,32,6,2.4352,0.7636363636363637,0.40909090909090906,0.04242424242424245,0.06363636363636364,0.5999999999999999
0.5,0.5,33,8,2.2288,0.8454545454545455,0.4545454545454545,0.07727272727272723,,
0.5,0.5,34,6,2.3168,0.4909090909090909,0.23636363636363633,-1.7925475918427008e-17,0.0136363636363636,1.0000000000000013
0.5,0.5,35,7,3.3056,0.6181818181818182,0.2818181818181818,0.011688311688311684,0.1181818181818181,0.91
0.5,0.5,36,6,2.2176,0.8454545454545455,0.309090909090909,0.1621212121212121,0.04545454545454545,0.21897810218978103
0.5,0.5,37,6,1.9808,0.7909090909090909,0.2818181818181818,0.14696969696969694,0.10454545454545446,0.4156626506024094
0.5,0.5,38,3,0.9248,0.9818181818181818,0.4545454545454545,0.1363636363636363,0.08363636363636358,0.3801652892561983
0.5,0.5,39,5,2.6048,0.7545454545454545,0.3909090909090909,0.149090909090909,0.04242424242424234,0.22151898734177192
0.5,0.5,40,7,2.5408,0.8272727272727273,0.40909090909090906,0.053246753246753216,0.0999999999999999,0.6525423728813559
0.5,0.5,41,5,2.0368,0.6363636363636364,0.20909090909090908,0.05999999999999994,0.08787878787878779,0.5942622950819673
0.5,0.5,42,6,1.2576,0.9636363636363636,0.39999999999999997,0.0545454545454545,0.01363636363636355,0.19999999999999912
0.5,0.5,43,6,2.1136,0.8636363636363636,0.2909090909090909,0.20606060606060603,0.0727272727272727,0.2608695652173913
0.5,0.5,44,4,2.7488,0.7363636363636363,0.2545454545454545,0.14090909090909085,0.14772727272727265,0.5118110236220473
0.5,0.5,45,3,2.9392,0.7636363636363637,0.2818181818181818,0.10909090909090907,0.061818181818181786,0.36170212765957444
0.5,0.5,46,5,2.8176,0.7272727272727273,0.3363636363636363,0.12181818181818178,0.09090909090909087,0.42735042735042733
